Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
1 365 ,En stock,Ibanez,EHB1265MS,EHB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1265ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1265ms/petites-annonces/
1 028 ,En stock,Fender,Player Plus Jazz Bass V,Player Plus,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/player-plus-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/player-plus-jazz-bass-v/petites-annonces/
959 ,En stock,Cort,Artisan A5 Beyond,Artisan,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-a5-beyond/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-a5-beyond/petites-annonces/
825 ,En stock,Cort,A5 Plus SC,Basses électriques 5 cordes,10/01/2020,https://fr.audiofanzine.com/basse-electrique-divers/cort/a5-plus-sc/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/a5-plus-sc/petites-annonces/
1 199 ,En stock,Ibanez,EHB1005MS,EHB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1005ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1005ms/petites-annonces/
3 290 ,En stock,Music Man,StingRay Special 5,StingRay,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-special-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-special-5/petites-annonces/
468 ,En stock,Ibanez,SR306EB,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr306eb/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr306eb/petites-annonces/
1 049 ,Pas de stock,Ibanez,BTB845V,BTB Workshop,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb845v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb845v/petites-annonces/
719 ,En stock,Yamaha,BB435,400,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/bb435/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/bb435/petites-annonces/
 650.00 ,Aucune annonce,Sire,Marcus Miller M7 5ST (Ash),Marcus Miller M7,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/sire/marcus-miller-m7-ash-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sire/marcus-miller-m7-ash-5/petites-annonces/
549 ,En stock,Cort,B5 Plus AS,Artisan,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/b5-plus-as/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/b5-plus-as/petites-annonces/
1 259.50 ,En stock,Yamaha,TRB1006J,Basses électriques 5 cordes,16/11/2011,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trb1006j/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trb1006j/petites-annonces/
1 583 ,Pas de stock,Yamaha,TRB1005,TRB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trb1005/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trb1005/petites-annonces/
2 490 ,Pas de stock,Rickenbacker,4003/S5,Basses électriques 5 cordes,31/08/2003,https://fr.audiofanzine.com/basse-electrique-divers/rickenbacker/4003-S5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/rickenbacker/4003-S5/petites-annonces/
328 ,En stock,Harley Benton,Enhanced MP-5,Basses électriques 5 cordes,16/01/2023,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/enhanced-mp-5mn-natural/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/enhanced-mp-5mn-natural/petites-annonces/
1 549 ,Pas de stock,Ibanez,SR1356B Premium,SR Premium,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1356b-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1356b-premium/petites-annonces/
1 699 ,En stock,Ibanez,SR5FMDX2 Premium,SR Premium,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5fmdx2-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5fmdx2-premium/petites-annonces/
439 ,En stock,Jackson,JS Spectra Bass JS3QV,JS,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-spectra-bass-js3qv/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-spectra-bass-js3qv/petites-annonces/
452.80 ,En stock,Jackson,JS Concert Bass JS3VQ,JS,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-concert-bass-js3vq/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-concert-bass-js3vq/petites-annonces/
988 ,En stock,Jackson,Pro Spectra Bass SBA V,Pro,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sba-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sba-v/petites-annonces/
988 ,En stock,Jackson,Pro Spectra Bass SBP V,Pro,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sbp-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sbp-v/petites-annonces/
491 ,En stock,Ibanez,SR305EDX,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305edx/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305edx/petites-annonces/
2 999 ,En stock,Ibanez,SRMS5 Prestige,SR Prestige,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms5-prestige/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms5-prestige/petites-annonces/
2 699 ,Pas de stock,E-II,BTL-5,Basses électriques 5 cordes,21/09/2022,https://fr.audiofanzine.com/basse-electrique-divers/e-ii/btl-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/e-ii/btl-5/petites-annonces/
1 125 ,Pas de stock,Solar Guitars,AB2.5MBL,AB Bass,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/solar-guitars/ab2-5mbl/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/solar-guitars/ab2-5mbl/petites-annonces/
749 ,Pas de stock,Schecter,Omen Elite-5,Omen Elite,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/omen-elite-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/omen-elite-5/petites-annonces/
899 ,Pas de stock,Schecter,C-5 GT,Basses électriques 5 cordes,17/08/2022,https://fr.audiofanzine.com/basse-electrique-divers/schecter/c-5-gt/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/c-5-gt/petites-annonces/
1 739 ,Pas de stock,Schecter,Michael Anthony MA-5 Bass,Artist,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/michael-anthony-ma-5-bass/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/michael-anthony-ma-5-bass/petites-annonces/
1 399 ,Pas de stock,Schecter,Ultra-5 Bass,Basses électriques 5 cordes,17/08/2022,https://fr.audiofanzine.com/basse-electrique-divers/schecter/ultra-5-bass/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/ultra-5-bass/petites-annonces/
